ADX_THRESHOLD_LONG,ADX_THRESHOLD_SHORT,ROC_THRESHOLD_LONG,ROC_THRESHOLD_SHORT,TARGET_MULTIPLIER,STOP_LOSS_ATR_MULT,MAX_HOLDING_DAYS,PARTIAL_EXIT_THRESHOLD,sharpe_oos,n_trades
30,35,0.8,1.2,1.2,1.0,7,0.1,1.6950142625255633,333
30,35,0.8,1.2,1.2,1.0,5,0.1,1.6950142625255633,333
30,30,0.8,0.8,1.5,1.0,5,0.07,1.692565987147627,345
20,35,0.8,1.2,2.0,1.0,3,0.07,1.69199454743743,456
20,35,0.8,0.5,2.0,1.0,3,0.05,1.6860114623342004,462
20,30,0.8,0.5,2.0,1.0,3,0.05,1.68265132542355,480
20,30,0.8,1.2,2.0,1.0,3,0.07,1.6796315095926386,474
30,35,0.8,1.2,1.2,1.0,7,0.07,1.6743215847914679,333
30,35,0.8,1.2,1.2,1.0,5,0.07,1.6743215847914679,333
30,30,0.8,0.5,1.5,1.0,5,0.07,1.6701679744946492,348
30,35,0.8,0.5,1.5,1.0,5,0.07,1.670164033263013,330
30,30,0.8,0.8,2.0,1.0,7,0.07,1.6696372256523693,333
30,35,0.8,0.8,2.0,1.0,7,0.05,1.6684618006335457,315
30,30,0.8,0.8,2.0,1.0,7,0.1,1.66345363502937,333
30,30,0.8,1.2,1.2,1.0,7,0.1,1.650868492764139,351
30,30,0.8,1.2,1.2,1.0,5,0.1,1.650868492764139,351
30,30,0.8,0.5,2.0,1.0,7,0.07,1.6485854449726454,336
30,30,0.8,0.5,2.0,1.0,7,0.1,1.6420594660686882,336
30,30,0.8,1.2,1.2,1.0,7,0.07,1.6380554512186305,351
30,30,0.8,1.2,1.2,1.0,5,0.07,1.6380554512186305,351
30,35,0.8,0.5,2.0,1.0,7,0.05,1.6369719795532633,318
20,35,0.8,0.8,2.0,1.0,3,0.07,1.6296975086229408,459
30,30,0.8,0.8,2.0,1.0,7,0.05,1.6264569683831203,333
30,35,0.8,1.2,2.0,1.0,5,0.07,1.6225481312319279,315
30,35,0.8,1.2,2.0,1.0,5,0.1,1.621309297072579,315
20,30,0.8,0.8,2.0,1.0,3,0.07,1.6173344707781494,477
20,35,0.8,0.5,2.0,1.0,3,0.07,1.6107482533612913,462
20,35,0.8,1.2,2.0,1.0,3,0.1,1.6085504807212538,456
30,30,0.8,0.5,2.0,1.0,7,0.05,1.6056095010211309,336
20,30,0.8,0.5,2.0,1.0,3,0.07,1.603378785158315,480
30,35,0.8,0.8,1.5,1.0,5,0.05,1.6032657309864145,327
30,30,0.8,0.8,1.5,1.0,5,0.05,1.5961483985202396,345
20,30,0.8,1.2,1.5,1.0,3,0.05,1.5880448602852677,489
20,30,0.8,1.2,2.0,1.0,3,0.1,1.5880147436446552,474
30,35,0.8,0.8,1.2,1.0,7,0.1,1.587993222033389,336
30,35,0.8,0.8,1.2,1.0,5,0.1,1.587993222033389,336
30,35,0.8,1.2,1.2,1.0,5,0.05,1.5799089859141615,333
30,35,0.8,1.2,1.2,1.0,7,0.05,1.5799089859141615,333
30,30,0.8,0.5,1.5,1.0,5,0.05,1.5739250571483612,348
20,30,0.8,1.2,1.2,1.0,3,0.05,1.569688921727203,504
30,35,0.8,0.5,1.5,1.0,5,0.05,1.569278190318011,330
30,30,0.8,1.2,2.0,1.0,5,0.07,1.5687473455359424,333
30,35,0.8,0.8,1.2,1.0,7,0.07,1.5673005442992936,336
30,35,0.8,0.8,1.2,1.0,5,0.07,1.5673005442992936,336
30,35,0.8,1.2,2.0,1.0,5,0.05,1.5591517879204688,315
30,35,0.8,0.5,1.2,1.0,5,0.1,1.5575089313639794,339
30,35,0.8,0.5,1.2,1.0,7,0.1,1.5575089313639794,339
30,30,0.8,1.2,1.2,1.0,7,0.05,1.5550362010078653,351
30,30,0.8,1.2,1.2,1.0,5,0.05,1.5550362010078653,351
30,30,0.8,1.2,2.0,1.0,5,0.1,1.5534636651970595,333
20,35,0.8,0.8,2.0,1.0,3,0.1,1.547946404633546,459
20,30,0.8,1.2,1.5,1.0,3,0.07,1.5453825330364739,489
20,35,0.8,1.2,1.2,1.0,3,0.05,1.5440247419500097,486
30,30,0.8,0.8,1.2,1.0,7,0.1,1.5438474522719647,354
30,30,0.8,0.8,1.2,1.0,5,0.1,1.5438474522719647,354
20,35,0.8,1.2,1.5,1.0,3,0.05,1.540527632653556,471
20,30,0.8,1.2,1.2,1.0,3,0.07,1.5376699028166159,504
30,35,0.8,0.5,1.2,1.0,7,0.07,1.5370793341603506,339
30,35,0.8,0.5,1.2,1.0,5,0.07,1.5370793341603506,339
30,30,0.8,0.8,1.2,1.0,5,0.07,1.5310344107264562,354
30,30,0.8,0.8,1.2,1.0,7,0.07,1.5310344107264562,354
20,35,0.8,0.5,2.0,1.0,3,0.1,1.5295292195975099,462
20,30,0.8,0.8,2.0,1.0,3,0.1,1.5274106675569477,477
20,30,0.8,0.8,1.5,1.0,3,0.05,1.5256507827311026,492
30,30,0.8,1.2,2.0,1.0,5,0.05,1.5241068756692968,333
30,30,0.8,0.5,1.2,1.0,7,0.1,1.5239993302523254,357
30,30,0.8,0.5,1.2,1.0,5,0.1,1.5239993302523254,357
30,25,0.8,1.2,2.0,1.0,3,0.07,1.5219877076073376,366
20,30,0.8,1.2,1.2,1.0,3,0.1,1.5216376273562249,504
30,25,0.8,1.2,1.5,1.0,7,0.1,1.5158679127069647,366
30,25,0.8,1.2,2.0,1.0,3,0.1,1.5152919941227272,366
20,30,0.8,0.5,2.0,1.0,3,0.1,1.5139117921682543,480
30,35,0.8,1.2,1.2,2.0,3,0.05,1.5131637878188704,270
20,30,0.8,0.5,1.5,1.0,3,0.05,1.5128472728522069,495
20,35,0.8,1.2,1.2,1.0,3,0.07,1.5115789517534592,486
30,30,0.8,0.5,1.2,1.0,7,0.07,1.5111910996661224,357
30,30,0.8,0.5,1.2,1.0,5,0.07,1.5111910996661224,357
30,35,0.8,0.8,2.0,1.0,5,0.1,1.5099032176154297,318
30,35,0.8,0.8,2.0,1.0,5,0.07,1.5095148214040945,318
20,30,0.8,0.8,1.2,1.0,3,0.05,1.506100320282087,507
30,25,0.8,0.8,2.0,1.0,3,0.07,1.5027438777579476,372
20,35,0.8,1.2,1.2,1.0,3,0.1,1.5021555204972517,486
30,25,0.8,1.2,2.0,1.0,3,0.05,1.501439913748796,366
30,25,0.8,0.8,2.0,1.0,3,0.05,1.5004851415997433,372
20,30,0.8,0.5,1.2,1.0,3,0.05,1.4943124603499538,510
30,35,0.8,1.2,1.2,2.0,3,0.07,1.4931724730166371,270
20,30,0.8,1.2,1.5,1.0,3,0.1,1.4901319899743202,489
20,35,0.8,1.2,1.5,1.0,3,0.07,1.4887990698334295,471
30,25,0.8,0.8,1.5,1.0,7,0.1,1.4868330441139237,372
20,30,0.8,0.8,1.5,1.0,3,0.07,1.483026107675852,492
30,25,0.8,1.2,1.5,1.0,3,0.1,1.4814144492125016,375
20,35,0.8,0.8,1.2,1.0,3,0.05,1.4804361405048934,489
30,25,0.8,0.8,2.0,1.0,3,0.1,1.4800947068058374,372
20,35,0.8,0.8,1.5,1.0,3,0.05,1.4781335550993908,474
30,30,0.8,1.2,1.2,2.0,3,0.05,1.4778561885649133,288
30,35,0.8,0.5,2.0,1.0,5,0.07,1.4775196725224597,321
30,35,0.8,0.5,2.0,1.0,5,0.1,1.4771999033322136,321
20,30,0.8,0.8,1.2,1.0,3,0.07,1.4740928489387066,507
30,35,0.8,0.8,1.2,1.0,5,0.05,1.4728894265782868,336
30,35,0.8,0.8,1.2,1.0,7,0.05,1.4728894265782868,336
30,35,0.8,1.2,1.5,2.0,3,0.05,1.4728736267653546,270
30,35,0.8,1.2,2.0,2.0,3,0.05,1.4728736267653546,270
20,30,0.8,0.5,1.5,1.0,3,0.07,1.4705837244688342,495
